table,seq,column,is_pk,is_fk,id,type,size,description,d_caster,d_has_codes
providerinfo_data,29,staffing_rating,,,cpTSZsQg4S0700t,INTEGER,1,staffing_rating,,
providerinfo_data,30,staffing_rating_fn,,,cpTSZsQg4S0700u,VARCHAR,18,staffing_rating_fn,,
providerinfo_data,31,rn_staffing_rating,,,cpTSZsQg4S0700v,INTEGER,1,RN_staffing_rating,,
providerinfo_data,32,rn_staffing_rating_fn,,,cpTSZsQg4S0700w,VARCHAR,18,rn_staffing_rating_fn,,
providerinfo_data,33,staffing_flag,,,cpTSZsQg4S0700x,VARCHAR,61,STAFFING_FLAG,,
providerinfo_data,34,pt_staffing_flag,,,cpTSZsQg4S0700y,VARCHAR,78,PT_STAFFING_FLAG,,
providerinfo_data,35,aidhrd,,,cpTSZsQg4S0700z,REAL,,AIDHRD,,
providerinfo_data,36,vochrd,,,cpTSZsQg4S0700A,REAL,,VOCHRD,,
providerinfo_data,37,rnhrd,,,cpTSZsQg4S0700B,REAL,,RNHRD,,
providerinfo_data,38,totlichrd,,,cpTSZsQg4S0700C,REAL,,TOTLICHRD,,
providerinfo_data,39,tothrd,,,cpTSZsQg4S0700D,REAL,,TOTHRD,,
providerinfo_data,40,pthrd,,,cpTSZsQg4S0700E,REAL,,PTHRD,,
providerinfo_data,41,exp_aide,,,cpTSZsQg4S0700F,REAL,,exp_aide,,
providerinfo_data,42,exp_lpn,,,cpTSZsQg4S0700G,REAL,,exp_lpn,,
providerinfo_data,43,exp_rn,,,cpTSZsQg4S0700H,REAL,,exp_rn,,
providerinfo_data,44,exp_total,,,cpTSZsQg4S0700I,REAL,,exp_total,,
providerinfo_data,45,adj_aide,,,cpTSZsQg4S0700J,REAL,,adj_aide,,
providerinfo_data,46,adj_lpn,,,cpTSZsQg4S0700K,REAL,,adj_lpn,,
providerinfo_data,47,adj_rn,,,cpTSZsQg4S0700L,REAL,,adj_rn,,
providerinfo_data,48,adj_total,,,cpTSZsQg4S0700M,REAL,,adj_total,,
providerinfo_data,49,cycle_1_defs,,,cpTSZsQg4S0700N,INTEGER,2,cycle_1_defs,int_na_caster,1
providerinfo_data,50,cycle_1_nfromdefs,,,cpTSZsQg4S0700O,INTEGER,2,cycle_1_nfromdefs,int_na_caster,1
providerinfo_data,51,cycle_1_nfromcomp,,,cpTSZsQg4S0700P,INTEGER,2,cycle_1_nfromcomp,int_na_caster,1
providerinfo_data,52,cycle_1_defs_score,,,cpTSZsQg4S0700Q,INTEGER,4,cycle_1_defs_score,int_na_caster,1
providerinfo_data,53,cycle_1_survey_date,,,cpTSZsQg4S0700R,DATE,,CYCLE_1_SURVEY_DATE,,
providerinfo_data,54,cycle_1_numrevis,,,cpTSZsQg4S0700S,INTEGER,1,CYCLE_1_NUMREVIS,int_na_caster,1
providerinfo_data,55,cycle_1_revisit_score,,,cpTSZsQg4S0700T,INTEGER,3,CYCLE_1_REVISIT_SCORE,int_na_caster,1
providerinfo_data,56,cycle_1_total_score,,,cpTSZsQg4S0700U,INTEGER,4,CYCLE_1_TOTAL_SCORE,int_na_caster,1
providerinfo_data,57,cycle_2_defs,,,cpTSZsQg4S0700V,INTEGER,2,cycle_2_defs,int_na_caster,1
providerinfo_data,58,cycle_2_nfromdefs,,,cpTSZsQg4S0700W,INTEGER,2,cycle_2_nfromdefs,int_na_caster,1
providerinfo_data,59,cycle_2_nfromcomp,,,cpTSZsQg4S0700X,INTEGER,2,cycle_2_nfromcomp,int_na_caster,1
providerinfo_data,60,cycle_2_defs_score,,,cpTSZsQg4S0700Y,INTEGER,4,cycle_2_defs_score,int_na_caster,1
providerinfo_data,61,cycle_2_survey_date,,,cpTSZsQg4S0700Z,DATE,,CYCLE_2_SURVEY_DATE,,
providerinfo_data,62,cycle_2_numrevis,,,cpTSZsQg4S07010,INTEGER,1,CYCLE_2_NUMREVIS,int_na_caster,1
providerinfo_data,63,cycle_2_revisit_score,,,cpTSZsQg4S07011,INTEGER,3,CYCLE_2_REVISIT_SCORE,int_na_caster,1
providerinfo_data,64,cycle_2_total_score,,,cpTSZsQg4S07012,INTEGER,4,CYCLE_2_TOTAL_SCORE,int_na_caster,1
providerinfo_data,65,cycle_3_defs,,,cpTSZsQg4S07013,INTEGER,2,cycle_3_defs,int_na_caster,1
providerinfo_data,66,cycle_3_nfromdefs,,,cpTSZsQg4S07014,INTEGER,2,cycle_3_nfromdefs,int_na_caster,1
providerinfo_data,67,cycle_3_nfromcomp,,,cpTSZsQg4S07015,INTEGER,2,cycle_3_nfromcomp,int_na_caster,1
providerinfo_data,68,cycle_3_defs_score,,,cpTSZsQg4S07016,INTEGER,4,cycle_3_defs_score,int_na_caster,1
providerinfo_data,69,cycle_3_survey_date,,,cpTSZsQg4S07017,DATE,,CYCLE_3_SURVEY_DATE,,
providerinfo_data,70,cycle_3_numrevis,,,cpTSZsQg4S07018,INTEGER,1,CYCLE_3_NUMREVIS,int_na_caster,1
providerinfo_data,71,cycle_3_revisit_score,,,cpTSZsQg4S07019,INTEGER,3,CYCLE_3_REVISIT_SCORE,int_na_caster,1
providerinfo_data,72,cycle_3_total_score,,,cpTSZsQg4S0701a,INTEGER,4,CYCLE_3_TOTAL_SCORE,int_na_caster,1
providerinfo_data,73,weighted_all_cycles_score,,,cpTSZsQg4S0701b,REAL,,WEIGHTED_ALL_CYCLES_SCORE,int_na_caster,1
providerinfo_data,74,incident_cnt,,,cpTSZsQg4S0701c,INTEGER,2,incident_cnt,,
providerinfo_data,75,cmplnt_cnt,,,cpTSZsQg4S0701d,INTEGER,2,cmplnt_cnt,,
providerinfo_data,76,fine_cnt,,,cpTSZsQg4S0701e,INTEGER,1,FINE_CNT,,
providerinfo_data,77,fine_tot,,,cpTSZsQg4S0701f,INTEGER,6,FINE_TOT,,
providerinfo_data,78,payden_cnt,,,cpTSZsQg4S0701g,INTEGER,1,PAYDEN_CNT,,
providerinfo_data,79,tot_penlty_cnt,,,cpTSZsQg4S0701h,INTEGER,2,TOT_PENLTY_CNT,,
providerinfo_data,80,filedate,,,cpTSZsQg4S0701i,DATE,,FILEDATE,,
